1 _ 1			1 _ 2			1 _ 3			1 _ 4			1 _ 5			1 _ 6		
Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход
сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм
11,5	530,8898	0,09623334	11,5	544,1061	0,1476333	11,5	545,907	0,1491667	11,5	546,7311	0,1492	11,5	544,8596	0,1483667	11,5	546,9449	0,1483667
11,6	524,5646	0,09456667	11,6	544,0084	0,1476333	11,6	545,8292	0,1491667	11,6	546,6684	0,1492	11,6	544,7984	0,1483667	11,6	546,8909	0,1483667
11,7	518,144	0,0929	11,7	543,9122	0,1476333	11,7	545,76	0,1491667	11,7	546,6048	0,1492	11,7	544,7467	0,1483667	11,7	546,8234	0,1483667
11,8	511,69	0,09123334	11,8	543,8185	0,1476333	11,8	545,6972	0,1491667	11,8	546,538	0,1492	11,8	544,6951	0,1483667	11,8	546,7693	0,1483667
11,9	505,6715	0,08953334	11,9	543,7223	0,1476333	11,9	545,6296	0,1491667	11,9	546,4753	0,1492	11,9	544,6402	0,1483667	11,9	546,7161	0,1483667
12	502,2422	0,0879	12	543,6365	0,1476333	12	545,5598	0,1491667	12	546,4212	0,1492	12	544,5862	0,1483667	12	546,662	0,1483667
12,1	500,8157	0,08626667	12,1	543,5403	0,1476333	12,1	545,4969	0,1491667	12,1	546,3648	0,1492	12,1	544,5281	0,1483667	12,1	546,6032	0,1483667
12,2	498,4069	0,08456667	12,2	543,4568	0,1476333	12,2	545,4357	0,1491667	12,2	546,3076	0,1492	12,2	544,4709	0,1483667	12,2	546,5627	0,1483667
12,3	492,5911	0,0829	12,3	543,3734	0,1476333	12,3	545,3626	0,1491667	12,3	546,2535	0,1492	12,3	544,4265	0,1483667	12,3	546,5182	0,1483667
12,4	485,9289	0,08123334	12,4	543,2884	0,1476333	12,4	545,3038	0,1491667	12,4	546,1955	0,1492	12,4	544,3772	0,1483667	12,4	546,4792	0,1483667
12,5	479,3088	0,07956666	12,5	543,1986	0,1476333	12,5	545,2426	0,1491667	12,5	546,1439	0,1492	12,5	544,3303	0,1483667	12,5	546,4395	0,1483667
12,6	472,7125	0,0779	12,6	543,131	0,1476333	12,6	545,1918	0,1491667	12,6	546,0811	0,1492	12,6	544,2889	0,1483667	12,6	546,395	0,1483667
12,7	466,1266	0,07623333	12,7	543,0508	0,1476333	12,7	545,1337	0,1491667	12,7	546,031	0,1492	12,7	544,2357	0,1483667	12,7	546,3425	0,1483667
12,8	459,6098	0,07453334	12,8	542,9681	0,1476333	12,8	545,0789	0,1491667	12,8	545,9777	0,1492	12,8	544,1801	0,1483667	12,8	546,3068	0,1483667
12,9	453,1082	0,0729	12,9	542,8966	0,1476333	12,9	545,0352	0,1491667	12,9	545,9316	0,1492	12,9	544,1475	0,1483667	12,9	546,2639	0,1483667
13	446,5993	0,07123333	13	542,8203	0,1476333	13	544,9669	0,1491667	13	545,8911	0,1492	13	544,1118	0,1483667	13	546,2241	0,1483667
13,1	440,0961	0,06953333	13,1	542,7527	0,1476333	13,1	544,9064	0,1491667	13,1	545,8419	0,1492	13,1	544,0648	0,1483667	13,1	546,1749	0,1483667
13,2	433,6143	0,06786667	13,2	542,6812	0,1476333	13,2	544,8532	0,1491667	13,2	545,7862	0,1492	13,2	544,0251	0,1483667	13,2	546,1343	0,1483667
13,3	427,0927	0,0662	13,3	542,6002	0,1476333	13,3	544,8032	0,1491667	13,3	545,7433	0,1492	13,3	543,9861	0,1483667	13,3	546,0986	0,1483667
13,4	420,7118	0,06453333	13,4	542,535	0,1476333	13,4	544,7491	0,1491667	13,4	545,7012	0,1492	13,4	543,9504	0,1483667	13,4	546,0644	0,1483667
13,5	414,3151	0,0629	13,5	542,4674	0,1476333	13,5	544,6871	0,1491667	13,5	545,6567	0,1492	13,5	543,9099	0,1483667	13,5	546,0326	0,1483667
13,6	407,9334	0,06123333	13,6	542,3959	0,1476333	13,6	544,6394	0,1491667	13,6	545,6241	0,1492	13,6	543,8661	0,1483667	13,6	545,9857	0,1483667
13,7	401,6082	0,05956667	13,7	542,3244	0,1476333	13,7	544,5878	0,1491667	13,7	545,5717	0,1492	13,7	543,8256	0,1483667	13,7	545,9507	0,1483667
13,8	395,2567	0,0579	13,8	542,2656	0,1476333	13,8	544,5385	0,1491667	13,8	545,5256	0,1492	13,8	543,7819	0,1483667	13,8	545,9126	0,1483667
13,9	388,8448	0,0562	13,9	542,1956	0,1476333	13,9	544,4988	0,1491667	13,9	545,4763	0,1492	13,9	543,7485	0,1483667	13,9	545,8784	0,1483667
14	382,425	0,0545	14	542,1329	0,1464667	14	544,4535	0,1491667	14	545,4278	0,1492	14	543,7104	0,1483	14	545,8442	0,1481667
14,1	376,0274	0,05286667	14,1	541,6131	0,1446333	14,1	544,4002	0,1481	14,1	545,3936	0,1481333	14,1	543,6389	0,1462333	14,1	545,7529	0,1462333
14,2	369,637	0,05123333	14,2	537,8763	0,1429333	14,2	543,9798	0,1461667	14,2	544,9645	0,1462	14,2	542,0081	0,1445	14,2	544,0243	0,1445333
14,3	363,2633	0,04956667	14,3	531,7632	0,1412333	14,3	540,3288	0,1445	14,3	541,2777	0,1444667	14,3	536,4863	0,1427667	14,3	538,6408	0,1428
14,4	356,8856	0,0479	14,4	525,4467	0,1395667	14,4	534,1538	0,1428	14,4	535,0129	0,1428	14,4	530,1921	0,1411	14,4	532,3887	0,1411
14,5	350,5103	0,0462	14,5	518,9785	0,1378667	14,5	527,8278	0,1411	14,5	528,7043	0,1411667	14,5	523,777	0,1394333	14,5	525,9506	0,1394667
14,6	344,2176	0,04453333	14,6	512,5109	0,1362333	14,6	521,3284	0,1394333	14,6	522,267	0,1394667	14,6	517,2579	0,1377667	14,6	519,4656	0,1378
14,7	337,8955	0,0429	14,7	506,6951	0,1345667	14,7	514,8673	0,1377667	14,7	515,7502	0,1377667	14,7	511,0129	0,1361	14,7	513,1459	0,1361333
14,8	331,5544	0,0412	14,8	503,4614	0,1328667	14,8	509,2128	0,1361	14,8	510,1466	0,1361	14,8	506,7762	0,1344333	14,8	508,7837	0,1344333
14,9	325,2379	0,03956667	14,9	501,8965	0,1312333	14,9	506,1468	0,1344333	14,9	507,1274	0,1344333	14,9	504,845	0,1328333	14,9	506,7976	0,1328
15	318,8872	0,0379	15	499,3606	0,1295333	15	504,5779	0,1327667	15	505,5833	0,1327667	15	503,0521	0,1311	15	505,0651	0,1311
15,1	312,6168	0,03623333	15,1	493,5384	0,1279	15,1	501,8139	0,1311	15,1	502,8041	0,1311	15,1	498,3107	0,1294333	15,1	500,5097	0,1294333
