1 _ 1			1 _ 2			1 _ 3		
Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход
сек	Н	мм	сек	Н	мм	сек	Н	мм
			905,93	180,6219	15,0988			
			905,94	180,6132	15,09897			
			905,95	180,6084	15,09913			
			905,96	180,6005	15,0993			
			905,97	180,5925	15,09947			
			905,98	180,5862	15,09963			
			905,99	180,5846	15,0998			
			906	180,5838	15,09997			
			906,01	180,5822	15,10013			
			906,02	180,5838	15,1003			
			906,03	180,5901	15,10047			
			906,04	180,5949	15,10063			
			906,05	180,5997	15,1008			
			906,06	180,6084	15,10097			
			906,07	180,6156	15,10117			
			906,08	180,6172	15,1013			
			906,09	180,6203	15,1015			
			906,1	180,6291	15,10163			
			906,11	180,6355	15,1018			
			906,12	180,6339	15,10197			
			906,13	180,6267	15,1021			
			906,14	180,6196	15,1023			
			906,15	180,6196	15,10247			
			906,16	180,6283	15,10263			
			906,17	180,6378	15,1028			
			906,18	180,6426	15,10297			
			906,19	180,6418	15,10313			
			906,2	180,6426	15,1033			
			906,21	180,6474	15,10347			
			906,22	180,6521	15,10363			
			906,23	180,6561	15,1038			
			906,24	180,6633	15,104			
			906,25	180,6744	15,10417			
			906,26	180,6871	15,10433			
			906,27	180,6982	15,10447			
			906,28	180,7054	15,10463			
			906,29	180,7054	15,1048			
			906,3	180,699	15,10497			
			906,31	180,6903	15,10517			
			906,32	180,6871	15,10533			
			906,33	180,6855	15,1055			
			906,34	180,6871	15,10563			
			906,35	180,6903	15,1058			
			906,36	180,6966	15,10597			
			906,37	180,7006	15,10617			
			906,38	180,7014	15,10633			
			906,39	180,7014	15,1065			
			906,4	180,7014	15,10663			
			906,41	180,6958	15,10683			
			906,42	180,6871	15,10697			
			906,43	180,6847	15,10713			
			906,44	180,6879	15,10733			
			906,45	180,6943	15,10747			
			906,46	180,6943	15,10763			
			906,47	180,6903	15,10777			
			906,48	180,6855	15,10797			
			906,49	180,6808	15,1081			
			906,5	180,6784	15,1083			
			906,51	180,6823	15,10847			
			906,52	180,6935	15,10863			
			906,53	180,7046	15,10877			
			906,54	180,7094	15,10893			
			906,55	180,707	15,1091			
			906,56	180,703	15,1093			
			906,57	180,7006	15,10943			
			906,58	180,699	15,10963			
			906,59	180,6935	15,10983			
			906,6	180,6847	15,11003			
			906,61	180,6784	15,11017			
			906,62	180,6855	15,11033			
			906,63	180,699	15,11047			
			906,64	180,7117	15,11063			
			906,65	180,7181	15,1108			
			906,66	180,7205	15,11097			
			906,67	180,7181	15,11113			
			906,68	180,7125	15,1113			
			906,69	180,7054	15,11147			
			906,7	180,7006	15,11163			
			906,71	180,6982	15,11177			
			906,72	180,7014	15,11193			
			906,73	180,7046	15,1121			
			906,74	180,7046	15,1123			
			906,75	180,7046	15,11247			
			906,76	180,7117	15,11263			
			906,77	180,7213	15,1128			
			906,78	180,7237	15,11297			
			906,79	180,7189	15,11313			
			906,8	180,7125	15,1133			
			906,81	180,7102	15,11347			
			906,82	180,7141	15,11363			
			906,83	180,7205	15,11377			
			906,84	180,7205	15,11393			
			906,85	180,7165	15,1141			
			906,86	180,7102	15,11427			
			906,87	180,7054	15,11447			
			906,88	180,7046	15,11463			
			906,89	180,7141	15,1148			
			906,9	180,726	15,115			
			906,91	180,734	15,11517			
			906,92	180,734	15,1153			
			906,93	180,726	15,11547			
			906,94	180,7165	15,11563			
			906,95	180,7117	15,11577			
			906,96	180,7117	15,11597			
			906,97	180,7125	15,11613			
			906,98	180,7165	15,1163			
			906,99	180,7189	15,11647			
			907	180,7213	15,11667			
			907,01	180,7237	15,11683			
			907,02	180,7276	15,117			
			907,03	180,734	15,11717			
			907,04	180,7388	15,1173			
			907,05	180,7396	15,11747			
			907,06	180,7388	15,11763			
			907,07	180,7364	15,11783			
			907,08	180,7348	15,118			
			907,09	180,7324	15,1182			
			907,1	180,7316	15,11833			
			907,11	180,73	15,11847			
			907,12	180,7276	15,11863			
			907,13	180,7229	15,11883			
			907,14	180,7229	15,119			
			907,15	180,7284	15,11917			
			907,16	180,7364	15,1193			
			907,17	180,7388	15,11947			
			907,18	180,7348	15,11963			
			907,19	180,7316	15,11983			
			907,2	180,7348	15,11997			
			907,21	180,7388	15,1201			
			907,22	180,7388	15,1203			
			907,23	180,7411	15,12043			
			907,24	180,7459	15,12063			
			907,25	180,7459	15,1208			
			907,26	180,7411	15,12097			
			907,27	180,7364	15,12117			
			907,28	180,7324	15,1213			
			907,29	180,734	15,1215			
			907,3	180,7411	15,12163			
			907,31	180,7475	15,1218			
			907,32	180,7523	15,12197			
			907,33	180,7523	15,12213			
			907,34	180,7483	15,1223			
			907,35	180,7411	15,12247			
			907,36	180,7411	15,12263			
			907,37	180,7483	15,1228			
			907,38	180,757	15,123			
			907,39	180,7634	15,1232			
			907,4	180,7666	15,12337			
			907,41	180,7698	15,1235			
			907,42	180,7721	15,12363			
			907,43	180,7753	15,12383			
			907,44	180,7777	15,124			
			907,45	180,7769	15,12417			
			907,46	180,7729	15,12433			
			907,47	180,7698	15,1245			
			907,48	180,7666	15,12467			
			907,49	180,7698	15,1248			
			907,5	180,7729	15,12497			
			907,51	180,7777	15,12513			
			907,52	180,7793	15,1253			
			907,53	180,7769	15,12547			
			907,54	180,7729	15,12563			
			907,55	180,7706	15,12577			
			907,56	180,7721	15,12597			
			907,57	180,7745	15,1261			
			907,58	180,7721	15,1263			
			907,59	180,7666	15,12647			
			907,6	180,7618	15,12663			
			907,61	180,761	15,1268			
			907,62	180,7642	15,12697			
			907,63	180,7658	15,12717			
			907,64	180,7666	15,12733			
			907,65	180,7706	15,12747			
			907,66	180,7793	15,12763			
			907,67	180,7841	15,1278			
			907,68	180,7841	15,12797			
			907,69	180,7857	15,12817			
			907,7	180,7904	15,1283			
			907,71	180,7912	15,12843			
			907,72	180,7865	15,12863			
			907,73	180,7777	15,1288			
			907,74	180,7698	15,12897			
			907,75	180,7642	15,12917			
			907,76	180,7666	15,1293			
			907,77	180,7745	15,1295			
			907,78	180,7841	15,12963			
			907,79	180,7912	15,1298			
			907,8	180,7952	15,12997			
			907,81	180,7968	15,1301			
			907,82	180,7976	15,1303			
			907,83	180,8	15,13047			
			907,84	180,8015	15,13063			
			907,85	180,8047	15,1308			
			907,86	180,8111	15,13097			
			907,87	180,8135	15,13113			
			907,88	180,8127	15,1313			
			907,89	180,8135	15,1315			
			907,9	180,8182	15,13167			
			907,91	180,8214	15,1318			
			907,92	180,8222	15,13197			
			907,93	180,8262	15,13217			
			907,94	180,8286	15,13233			
			907,95	180,831	15,1325			
			907,96	180,8294	15,13263			
			907,97	180,8246	15,1328			
			907,98	180,8182	15,13297			
			907,99	180,8111	15,13313			
			908	180,8079	15,1333			
			908,01	180,8079	15,13347			
			908,02	180,8063	15,13363			
			908,03	180,8047	15,1338			
			908,04	180,8047	15,13397			
			908,05	180,8079	15,13413			
			908,06	180,8135	15,1343			
			908,07	180,8222	15,13447			
			908,08	180,8286	15,13463			
			908,09	180,8333	15,1348			
			908,1	180,8397	15,13497			
			908,11	180,8468	15,1351			
			908,12	180,8492	15,1353			
			908,13	180,8461	15,13547			
			908,14	180,8381	15,13563			
			908,15	180,8349	15,1358			
			908,16	180,8373	15,13597			
			908,17	180,8445	15,13617			
			908,18	180,854	15,1363			
			908,19	180,8604	15,13647			
			908,2	180,858	15,13663			
			908,21	180,8516	15,13683			
			908,22	180,8484	15,13697			
			908,23	180,8492	15,13713			
			908,24	180,8516	15,1373			
			908,25	180,8564	15,13747			
			908,26	180,8596	15,13763			
			908,27	180,8604	15,1378			
			908,28	180,8596	15,13797			
			908,29	180,8564	15,13813			
			908,3	180,8564	15,1383			
			908,31	180,858	15,1385			
			908,32	180,8604	15,13867			
			908,33	180,8604	15,1388			
			908,34	180,8604	15,13897			
			908,35	180,8604	15,13913			
			908,36	180,858	15,1393			
			908,37	180,8564	15,13947			
			908,38	180,8564	15,13963			
			908,39	180,8564	15,1398			
			908,4	180,8564	15,13997			
			908,41	180,8596	15,14013			
			908,42	180,8675	15,1403			
			908,43	180,8778	15,14047			
			908,44	180,8826	15,1406			
			908,45	180,8778	15,1408			
			908,46	180,8675	15,14097			
			908,47	180,8604	15,14113			
			908,48	180,8604	15,1413			
			908,49	180,8651	15,14143			
			908,5	180,8667	15,14163			
			908,51	180,862	15,1418			
			908,52	180,8604	15,14197			
			908,53	180,8651	15,14213			
			908,54	180,8715	15,1423			
			908,55	180,8739	15,14247			
