"Имя испытания","Режим испытания","Тип испытания","Заголовок1","Комментарий1","Ключвое слово","Наименование продукта","Имя файла испытания","Имя файла метода","Дата отчета","Дата испытания","Режим испытания","Тип испытания","Скорость","Форма","Серия:","Части серии:"
"Стеклопластик_2013-11-19_ц5-2.xtas","Контрольный","Растяжение","Заголовок","Комментарий"," "," ","Стеклопластик_2013-11-19_ц5-2.xtas","Стеклопластик_ц5.xmas","19.11.2013","19.11.2013","Контрольный","Растяжение","1мм/мин","Плоская","1","1"

"Форма:","Серия:","Часть серии:"
"Плоская","1","1"
"Имя","Толщина","Ширина","Длина базы измерения"
"Размерность:","мм","мм","мм"
"1 _ 1","1,3000","40,1000","110,0000"

"Имя"
"Параметр"
"Единица"
"1 _ 1"

"1 _ 1",
"Время","Сила","Ход"
"сек","Н","мм"
"4,56","16,02411","0,07593334"
"4,57","16,03047","0,07613333"
"4,58","16,04319","0,07626667"
"4,59","16,06385","0,07643333"
"4,6","16,08451","0,0766"
"4,61","16,09087","0,07676667"
"4,62","16,08849","0,07693333"
"4,63","16,09087","0,0771"
"4,64","16,10279","0,0773"
"4,65","16,11551","0,07746667"
"4,66","16,11948","0,0776"
"4,67","16,1171","0,0778"
"4,68","16,11392","0,07793333"
"4,69","16,11948","0,07813334"
"4,7","16,12743","0,07826667"
"4,71","16,13299","0,07846667"
"4,72","16,13537","0,0786"
"4,73","16,14253","0,07876667"
"4,74","16,15127","0,07893334"
"4,75","16,15127","0,0791"
"4,76","16,1465","0,07926667"
"4,77","16,14729","0,07943334"
"4,78","16,15604","0,0796"
"4,79","16,16558","0,0798"
"4,8","16,16875","0,07996666"
"4,81","16,16319","0,08013333"
"4,82","16,16319","0,0803"
"4,83","16,16875","0,08043333"
"4,84","16,17908","0,0806"
"4,85","16,18942","0,08076667"
"4,86","16,19577","0,08093333"
"4,87","16,20293","0,0811"
"4,88","16,21723","0,08126666"
"4,89","16,23472","0,08146667"
"4,9","16,24743","0,08163334"
"4,91","16,25458","0,0818"
"4,92","16,25935","0,08193333"
"4,93","16,26174","0,0821"
"4,94","16,26094","0,08223333"
"4,95","16,25538","0,0824"
"4,96","16,25458","0,0826"
"4,97","16,26333","0,08273333"
"4,98","16,2816","0,08293334"
"4,99","16,29909","0,0831"
"5","16,30624","0,08326667"
"5,01","16,30704","0,08343334"
"5,02","16,30863","0,0836"
"5,03","16,31101","0,08376667"
"5,04","16,31101","0,0839"
"5,05","16,30704","0,08406667"
"5,06","16,30624","0,08423334"
"5,07","16,31101","0,0844"
"5,08","16,31737","0,0846"
"5,09","16,31498","0,08476667"
"5,1","16,30386","0,08496667"
"5,11","16,2975","0,08513334"
"5,12","16,30863","0,08526666"
"5,13","16,32214","0,0854"
"5,14","16,32452","0,08556667"
"5,15","16,32055","0,08573333"
"5,16","16,3269","0,08593334"
"5,17","16,3428","0,08606667"
"5,18","16,35631","0,08626667"
"5,19","16,35631","0,08643334"
"5,2","16,34916","0,0866"
"5,21","16,35154","0,0868"
"5,22","16,35869","0,08696667"
"5,23","16,36028","0,08713333"
"5,24","16,35313","0,0873"
"5,25","16,34836","0,08746666"
"5,26","16,35075","0,08763333"
"5,27","16,35393","0,0878"
"5,28","16,35154","0,08793333"
"5,29","16,3428","0,0881"
