"1 _ 1",,,
"Время","Сила","Ход","Экст.1"
"сек","Н","мм","мм"
"5,23","23,57483","84,3619","29,77371"
"5,24","23,6241","84,52856","29,90087"
"5,25","23,67814","84,695","29,96445"
"5,26","23,69881","84,8617","29,97208"
"5,27","23,68689","85,02867","29,97208"
"5,28","23,68291","85,19517","30,10686"
"5,29","23,71152","85,36177","30,17044"
"5,3","23,75364","85,52856","30,17807"
"5,31","23,78543","85,6951","30,16281"
"5,32","23,79497","85,86173","30,17044"
"5,33","23,79656","86,02853","30,17044"
"5,34","23,81881","86,1952","30,27344"
"5,35","23,8649","86,3618","30,32049"
"5,36","23,91338","86,5284","30,32049"
"5,37","23,93802","86,69514","30,44001"
"5,38","23,93405","86,86193","30,50359"
"5,39","23,92928","87,0285","30,63838"
"5,4","23,94517","87,19497","30,71721"
"5,41","23,97617","87,3618","30,80368"
"5,42","24,0167","87,52853","30,85963"
"5,43","24,05961","87,69504","30,93084"
"5,44","24,09061","87,86187","30,97025"
"5,45","24,1073","88,02863","30,89142"
"5,46","24,13193","88,19504","30,85963"
"5,47","24,18121","88,36173","30,85963"
"5,48","24,24637","88,52867","30,85963"
"5,49","24,29803","88,6952","30,92321"
"5,5","24,31393","88,86167","31,08978"
"5,51","24,29724","89,02847","31,14446"
"5,52","24,2734","89,19514","31,26399"
"5,53","24,26783","89,3618","31,32757"
"5,54","24,28691","89,52847","31,31866"
"5,55","24,31313","89,69507","31,31104"
"5,56","24,31393","89,86183","31,31866"
"5,57","24,30201","90,02847","31,44582"
"5,58","24,30916","90,1951","31,52466"
"5,59","24,34731","90,3619","31,52466"
"5,6","24,39658","90,52843","31,51703"
"5,61","24,44426","90,69493","31,51703"
"5,62","24,48877","90,86183","31,64419"
"5,63","24,53645","91,02873","31,71539"
"5,64","24,5897","91,19507","31,72302"
"5,65","24,6191","91,36177","31,80313"
"5,66","24,61672","91,5286","31,87434"
"5,67","24,60082","91,6951","31,99259"
"5,68","24,59923","91,86177","32,04854"
"5,69","24,62308","92,0286","32,04854"
"5,7","24,65248","92,19517","32,10322"
"5,71","24,66758","92,3617","32,28633"
"5,72","24,6795","92,52853","32,35753"
"5,73","24,70652","92,69524","32,341"
"5,74","24,73354","92,86187","32,34863"
"5,75","24,75977","93,02843","32,46053"
"5,76","24,79235","93,19504","32,41221"
"5,77","24,82017","93,3619","32,46816"
"5,78","24,8456","93,5286","32,52411"
"5,79","24,87977","93,69514","32,52411"
"5,8","24,91474","93,86193","32,65889"
"5,81","24,94017","94,02853","32,71357"
"5,82","24,94256","94,195","32,71357"
"5,83","24,92031","94,36187","32,80894"
"5,84","24,91713","94,52863","32,86489"
"5,85","24,96004","94,69504","32,74536"
"5,86","25,01885","94,8617","32,71357"
"5,87","25,06336","95,0286","32,71357"
"5,88","25,09038","95,19507","32,71357"
"5,89","25,09912","95,3617","32,80131"
"5,9","25,10866","95,52847","33,00731"
"5,91","25,14442","95,69517","33,08614"
"5,92","25,17541","95,86177","33,19677"
"5,93","25,18177","96,02847","33,33155"
"5,94","25,17382","96,19514","33,40276"
"5,95","25,15316","96,3618","33,51339"
"5,96","25,14044","96,5284","33,57697"
"5,97","25,16905","96,695","33,57697"
"5,98","25,21674","96,8619","33,57697"
"5,99","25,25171","97,02853","33,57697"
"6","25,27237","97,19497","33,57697"
"6,01","25,28111","97,36187","33,71938"
"6,02","25,30654","97,5286","33,79186"
"6,03","25,37568","97,69504","33,79949"
"6,04","25,45595","97,86177","33,79949"
"6,05","25,49887","98,0286","33,79949"
"6,06","25,50602","98,19507","33,91774"
"6,07","25,49887","98,36177","33,97369"
"6,08","25,50364","98,52867","34,05253"
"6,09","25,54655","98,6952","34,10848"
"6,1","25,59821","98,86177","34,2191"
"6,11","25,61092","99,02847","34,25853"
"6,12","25,57596","99,19517","34,39331"
"6,13","25,53463","99,36183","34,44926"
"6,14","25,53225","99,52843","34,48868"
"6,15","25,59265","99,69514","34,49631"
"6,16","25,66338","99,86183","34,49631"
"6,17","25,6904","100,0285","34,48105"
"6,18","25,68563","100,195","34,48105"
"6,19","25,68086","100,3619","34,49631"
"6,2","25,69437","100,5285","34,61583"
"6,21","25,75556","100,695","34,67051"
"6,22","25,83981","100,8618","34,75825"
"6,23","25,86683","101,0287","34,93245"
"6,24","25,83742","101,195","35,00366"
"6,25","25,81755","101,3616","35,13845"
"6,26","25,83106","101,5285","35,21729"
"6,27","25,86921","101,6951","35,21729"
"6,28","25,90259","101,8617","35,21729"
"6,29","25,90259","102,0286","35,21729"
"6,3","25,89623","102,1952","35,20966"
"6,31","25,92961","102,3618","35,32791"
"6,32","25,99478","102,5285","35,38386"
"6,33","26,06233","102,6952","35,39912"
"6,34","26,10922","102,8619","35,40802"
"6,35","26,11478","103,0285","35,51865"
"6,36","26,10286","103,1951","35,58223"
"6,37","26,12273","103,3619","35,58223"
"6,38","26,18631","103,5286","35,65343"
"6,39","26,26419","103,6951","35,68522"
"6,4","26,29439","103,8618","35,68522"
"6,41","26,24671","104,0285","35,83527"
"6,42","26,17041","104,195","35,90648"
"6,43","26,14975","104,3618","35,90648"
"6,44","26,19505","104,5287","36,00184"
"6,45","26,25307","104,6951","36,07305"
"6,46","26,27293","104,8617","36,07305"
"6,47","26,24273","105,0286","36,18367"
"6,48","26,21492","105,1951","36,23962"
"6,49","26,23955","105,3616","36,23199"
"6,5","26,29995","105,5284","36,24725"
"6,51","26,34605","105,6951","36,37441"
"6,52","26,38102","105,8618","36,42909"
"6,53","26,40565","106,0286","36,43799"
"6,54","26,42155","106,1952","36,5092"
"6,55","26,45811","106,3619","36,54099"
"6,56","26,50261","106,5284","36,55624"
