1 _ 1			1 _ 3			1 _ 2			1 _ 4			1 _ 5			1 _ 6			1 _ 7			1 _ 8			1 _ 9			1 _ 10			1 _ 11			1 _ 12			1 _ 13			1 _ 14			1 _ 15		
Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход
сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм
0.44	2.56141	0.0072	0.44	12.86268	0.0073	0.44	8.95977	0.04366667	0.44	9.468396	0.0072	0.44	9.230773	0.04363333	0.44	8.241336	0.007233333	0.44	7.592042	0.007233333	0.44	7.587274	0.0072	0.44	7.534027	0.007233333	0.44	7.543564	0.007233333	0.44	8.591016	0.007233333	0.44	9.125073	0.04366667	0.44	10.19239	0.0219	0.44	9.803772	0.0073	0.44	7.650852	0.02183333
0.45	2.562205	0.007366667	0.45	12.88017	0.007466667	0.45	8.978844	0.04466667	0.45	9.508927	0.0074	0.45	9.253819	0.04463333	0.45	8.262794	0.0074	0.45	7.615089	0.007366667	0.45	7.606348	0.007366667	0.45	7.562637	0.007366667	0.45	7.592042	0.0074	0.45	8.646647	0.0074	0.45	9.155273	0.0447	0.45	10.20273	0.0224	0.45	9.802978	0.007466667	0.45	7.650057	0.02233333
0.46	2.559821	0.007566667	0.46	12.89368	0.007633334	0.46	8.993149	0.0457	0.46	9.531975	0.007566667	0.46	9.276073	0.04566667	0.46	8.281072	0.007566667	0.46	7.633368	0.007566667	0.46	7.617474	0.007533333	0.46	7.592042	0.007533333	0.46	7.637342	0.007566667	0.46	8.687179	0.007566667	0.46	9.186268	0.0457	0.46	10.20988	0.02286667	0.46	9.799004	0.007633334	0.46	7.655621	0.02283333
0.47	2.557437	0.007733333	0.47	12.89924	0.0078	0.47	9.00666	0.04673333	0.47	9.545485	0.007733333	0.47	9.300709	0.0467	0.47	8.292993	0.007733333	0.47	7.650057	0.007766667	0.47	7.626215	0.0077	0.47	7.619858	0.0077	0.47	7.677873	0.007766667	0.47	8.714199	0.0077	0.47	9.206931	0.0467	0.47	10.221	0.02336667	0.47	9.792645	0.0078	0.47	7.671515	0.0233
0.48	2.559821	0.007900001	0.48	12.90162	0.007966666	0.48	9.020169	0.04773333	0.48	9.561379	0.007900001	0.48	9.330113	0.04776667	0.48	8.303325	0.007933334	0.48	7.663568	0.007933334	0.48	7.634958	0.007900001	0.48	7.636547	0.007866667	0.48	7.708868	0.007933334	0.48	8.732478	0.007900001	0.48	9.215672	0.04773333	0.48	10.24087	0.02386667	0.48	9.789467	0.007966666	0.48	7.688204	0.02383333
0.49	2.568563	0.008066666	0.49	12.90162	0.008166667	0.49	9.03527	0.04876667	0.49	9.585221	0.0081	0.49	9.361108	0.04876667	0.49	8.312861	0.0081	0.49	7.671515	0.0081	0.49	7.6437	0.008066666	0.49	7.6437	0.008066666	0.49	7.733504	0.008066666	0.49	8.745988	0.008066666	0.49	9.214878	0.04876667	0.49	10.26392	0.02436667	0.49	9.791851	0.008133333	0.49	7.697741	0.0243
0.5	2.579689	0.008266667	0.5	12.90083	0.008333334	0.5	9.049575	0.0498	0.5	9.610653	0.008233333	0.5	9.388129	0.0498	0.5	8.322398	0.008266667	0.5	7.677078	0.008233333	0.5	7.646879	0.008266667	0.5	7.650852	0.008233333	0.5	7.754167	0.008233333	0.5	8.757909	0.0082	0.5	9.214878	0.04976667	0.5	10.2822	0.02486667	0.5	9.79503	0.0083	0.5	7.698536	0.02483333
0.51	2.588431	0.008433334	0.51	12.90162	0.0085	0.51	9.064674	0.0508	0.51	9.632905	0.0084	0.51	9.410381	0.05076667	0.51	8.332729	0.0084	0.51	7.680257	0.0084	0.51	7.650852	0.008433334	0.51	7.663568	0.0084	0.51	7.774035	0.0084	0.51	8.77142	0.008366667	0.51	9.22362	0.05076667	0.51	10.2965	0.02536667	0.51	9.792645	0.0085	0.51	7.702509	0.02533333
0.52	2.593994	0.0086	0.52	12.90719	0.008666667	0.52	9.082158	0.05176667	0.52	9.653568	0.008566666	0.52	9.424686	0.05176667	0.52	8.343856	0.008566666	0.52	7.681847	0.008566666	0.52	7.661978	0.008566666	0.52	7.677873	0.008566666	0.52	7.78993	0.008533333	0.52	8.780162	0.008566666	0.52	9.239514	0.05173333	0.52	10.31001	0.02583333	0.52	9.787877	0.008666667	0.52	7.711252	0.02583333
0.53	2.597173	0.008766667	0.53	12.91672	0.008833334	0.53	9.101232	0.05273334	0.53	9.672642	0.008733333	0.53	9.438197	0.05276667	0.53	8.354981	0.008733333	0.53	7.684231	0.008766667	0.53	7.677078	0.008766667	0.53	7.690588	0.008733333	0.53	7.801056	0.0087	0.53	8.781751	0.008733333	0.53	9.260178	0.05273334	0.53	10.3267	0.02633333	0.53	9.785493	0.0088	0.53	7.720788	0.02633333
